news_id,title,date,url
47402,Традиционные ценности и система образования: в РГПУ прошло заседание  международного молодежного дискуссионного клуба «Таврический»,05 июн 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47402
47401,Эксперт РГПУ им. А. И. Герцена: Коммуникативные площадки в Ташкенте — новый шаг в обучении русскому языку,05 июн 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47401
47403,Герценовские кураторы помогут иностранным студентам интегрироваться в российскую образовательную среду,05 июн 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47403
47390,"Герценовский институт музыки, театра и хореографии будет сотрудничать с Ассоциацией вокального и сценического искусства Ляонина",05 июн 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47390
47377,Дмитрий Чернышенко: «Артек» — эталон качества детского отдыха в России и во всем мире,05 июн 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47377
47359,Китайские студенты Герценовского университета выступили на сочинском фестивале «Чайный путь»,04 июн 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47359
47362,Герценовцы посетили Домодедовскую школу — участницу проекта «Команда школьных педагогов «под ключ»,04 июн 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47362
47364,Фестиваль «Диалог культур» в РГПУ им. А. И. Герцена объединил традиции Востока и России,04 июн 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47364
47363,Форум «Государственная ценностная политика в системе образования» посвятили вопросам патриотического воспитания,04 июн 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47363
47333,Филиал РГПУ им. А. И. Герцена в Ташкенте в этом году примет первых студентов-математиков,03 июн 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47333
47321,"Сергей Тарасов поздравил почетного доктора Герценовского университета, митрополита Санкт-Петербургского и Ладожского Варсонофия с юбилеем",03 июн 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47321
47322,Герценовцы стали победителями и призерами соревнований по плаванию «Северная столица»,03 июн 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47322
47323,Студенты и преподаватели РГПУ им. А. И. Герцена стали участниками праздника для пациентов детского хосписа в Токсово,03 июн 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47323
47309,Сергей Тарасов примет участие в форуме ректоров университетов БРИКС+,02 июн 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47309
47313,Новые «Команды школьных педагогов «под ключ» РГПУ им. А. И. Герцена защитили творческие работы,02 июн 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47313
47310,Студенческий обмен и языковые программы: РГПУ им. А. И. Герцена принял делегацию Шаньдунского педагогического университета,02 июн 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47310
47289,Директор фундаментальной библиотеки РГПУ им. А. И. Герцена избрана вице-президентом Российской библиотечной ассоциации,02 июн 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47289
47308,Студентка Герценовского университета с командой установила мировой рекорд на гребном тренажере,02 июн 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47308
47311,Студентам-герценовцам в Колледже метрополитена рассказали о карьерных возможностях в сфере среднего специального образования,02 июн 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47311
